"year","R.version","bioc_version","date","Linux.wsl","Apple.Silicon","Intel.Mac","sha256"
2019,"3.5.3",3.08,"2019-03-14","supported","unsupported","might work","0flm2ip0dsqj1mr3fg0qsp9lrrj84d7l3brsk2cjf3mj61rbgjha"
2019,"3.6.0",3.09,"2019-05-05","supported","unsupported","might work","1msziln22csxf6ixzdwv4hclyaiq7kxclrvrdvdg4m245dwk2lm4"
2019,"3.6.1",3.09,"2019-07-22","supported","unsupported","might work","1gsz8fzfq4g01d7bak81rgncd7q4wns3blbciw65dnwwqsb3ggrw"
2019,"3.6.2",3.1,"2019-12-19","supported","unsupported","might work","0n0qp46r4s0g2vvnmrxj9607d44hxlpwg2wh3p2ncj0k0w3n11m9"
2020,"3.6.3",3.1,"2020-03-12","supported","unsupported","might work","1vgnpxcmq40c8bb0apxdl7h4h0am76s7pxi6s9lhaygp79vmbc6j"
2020,"4.0.0",3.1,"2020-04-27","supported","unsupported","might work","1h6x1kz9rpf0zwng1lvhrzgi0mqsa96bwqyh1sd621l3qs4cj6rg"
2020,"4.0.1",3.11,"2020-06-22","supported","unsupported","might work",""
2020,"4.0.2",3.11,"2020-08-20","supported","unsupported","might work","1ki7jdcb8ccbha8c8ibsvzwb16bj5n7yxk1vzq5if07iyvvk92pb"
2020,"4.0.3",3.12,"2020-10-30","supported","unsupported","might work","1c0klf4s19hf4ycvr202wgvh68sdb632sn08499fr0psmpbpv835"
2021,"4.0.4",3.12,"2021-02-26","supported","unsupported","might work","091967wbg3dlbsnmxv1g7syakwm3f01vflylr4cy4yjnqv5j8pri"
2021,"4.0.5",3.12,"2021-04-01","supported","supported","might work","11saaa8afb1kyz6xl7hb0pv5xkn8k53bh88rb038qzw6rlibia4v"
2021,"4.1.0",3.13,"2021-05-29","supported","supported","might work","13jcsh1cilrxpv6jgsbi53260nw4nyd0qqc8i1cndm2apsv7vdx5"
2021,"4.1.0",3.13,"2021-08-03","supported","supported","might work","0lz1k6m0jh5684syw3m9b8ds2ws00bb2adis57yyy12qisndlvsi"
2021,"4.1.1",3.14,"2021-10-28","supported","supported","might work","040lwrf4ggr43mlbdq9ia5hvsjsh6wjfkrgqd93bx2y4hnl0kncr"
2022,"4.1.2",3.14,"2022-01-16","supported","supported","might work","1b7id4s3jqrywvblfnkjjyfv1iji9aygc0ry87qqbd4iyzx56v8r"
2022,"4.1.3",3.14,"2022-04-19","supported","supported","might work","0fav55zi9jpvb8qhccjp6jij8iwa87a28iym2qbllfdcwj8xwjd7"
2022,"4.2.0",3.15,"2022-06-22","supported","supported","might work","029vq6mkj7kgkqrk8ic82g9x9wxl4b9y0ikcvgksz7hn8pqddppn"
2022,"4.2.1",3.15,"2022-08-22","supported","supported","might work","0knkv4mp3h1vclp4lg13w2l8yrh02jl175gqjz9wsyabva8fnjii"
2022,"4.2.1",3.15,"2022-10-20","supported","supported","might work","0zmmq6kcybi3qsa4va8vn7a3j5qar1gx1yklya8hrijggy9r0ln0"
2022,"4.2.2",3.16,"2022-12-20","supported","supported","might work","1apq0d5byjlvmys5cnf8czk2xpsvmvfikkryfxqcxxpjbm0m6v2f"
2023,"4.2.2",3.16,"2023-02-13","supported","supported","might work","0nvsl4ismf20sg7gzkjv25kqqi09z5y3i1hlv2xvfgjq2wdvibnx"
2023,"4.2.3",3.16,"2023-04-01","supported","supported","might work","11j2izcf0rzbicnw5v594magl9kz8760b85ajhgrzixp6fdjsx74"
2023,"4.3.0",3.17,"2023-06-15","supported","supported","might work","1z9ind7m0w23zq0r9yvndqz5nsmbhzcy2nmabkhinjmab9zc5834"
2023,"4.3.1",3.17,"2023-08-15","supported","supported","might work","10nl1d4w2kaizvmb99fjazhymzgrglqvmnrwfavi0x5iaa6v3ldk"
2023,"4.3.1",3.18,"2023-10-30","supported","supported","might work","02d1dg4fziiilkibw17bkajl9rw567wdpb946g9j910bqm7jzp49"
2023,"4.3.2",3.18,"2023-12-30","supported","supported","might work","1078mzxiv308k6wm044i20kdscpf0ks70ymn8h20rspq00cfward"
2024,"4.3.3",3.18,"2024-02-29","supported","supported","might work","0xpc9j6nlwa2yvfsb5f0nxmczr3wkpb57c2jz378isjwpya2w4v1"
2024,"4.4.0",3.18,"2024-04-29","supported","supported","might work","0dlg50ad4vm80wypg60m5jk7kcsi7f6lszaffxsl1v5aq5nixac5"
2024,"4.4.1",3.19,"2024-06-14","supported","supported","might work","0qik6zakhx4jhinz0pqmd1aq2phcf7c5646408pibb4yczsg1fxj"
2024,"4.4.1",3.19,"2024-08-19","supported","supported","might work","1yy9vhjkb2nz6ancd0j1na7nh8frynlzwm6z0n0bmvs82cbrl1a3"
2024,"4.4.1",3.19,"2024-10-01","supported","supported","might work","1kwsl6qi8b3ciydxds1xdhi8l4fhb7yyihp2pwvl2vv0p2fv223v"
2024,"4.4.2",3.2,"2024-12-14","supported","supported","might work","1nbr6m9fza4jd73wy55f9khpszxck4dxilcr8prf137syh25849f"
2025,"4.4.2",3.2,"2025-01-14","supported","supported","might work","0z7mf2wv1273hpl299g4hi5iq9p7pzcb069nn176qdvxrw324mjp"
2025,"4.4.2",3.2,"2025-01-24","supported","supported","might work","1sf2kwg89j6pk03wv63w30qgamjzqgswmpzf450wh3a4fxx2128n"
2025,"4.4.2",3.2,"2025-01-27","supported","supported","might work","14s1ma4vl63ipjzi5g0yq2dsvrng1f3npxlr1prlm55bqda75yhw"
2025,"4.4.2",3.2,"2025-02-03","supported","supported","might work","1mh03355bhga21ah8d59rrblkrp06jp7kvg82h4k8zbqw119nch7"
2025,"4.4.2",3.2,"2025-02-10","supported","supported","might work","0nk7jha7i8z89v4yh4fvawm2dkp2npnvkksvwdgxpnm185ikg1mv"
2025,"4.4.2",3.2,"2025-02-17","supported","supported","might work","04af6d53frw9xd0jh69bvvqqn6gxkxlxkc8vzgrpjglvzd1k8fra"
2025,"4.4.2",3.2,"2025-02-24","supported","supported","might work","0qw8ch6hk4savxi6qzc4h93h0y0q9fk72xm0n66rp8zjka3302hv"
2025,"4.4.3",3.2,"2025-02-28","supported","supported","might work","0s1ymjmiwz30yvxzkrgrjj5bgn93ya3l8prnz6dv7y6lc3shxlrb"
2025,"4.4.3",3.2,"2025-03-03","supported","supported","might work","1c7mb76w0qxv2gihblk42hlj08dqvmfyd4350j8in6v5kxp79p71"
2025,"4.4.3",3.2,"2025-03-10","supported","supported","might work","0wpb2av6nnzw88bcgxps65mc6rca7l25hryym7z5w39p5dvgq3is"
2025,"4.4.3",3.2,"2025-03-17","supported","supported","might work","0v6ars5fgzci21fq85vpqviznfx9660cfk4lcfsrd5mnb92g5xmz"
2025,"4.4.3",3.2,"2025-03-24","supported","supported","might work","0cvlxbxbbzz73q1sjnw64qksqv7i8cjaj5z8lbs3cx2aqws0m6ly"
2025,"4.4.3",3.2,"2025-03-31","supported","supported","might work","1iz4midh0q4g9yzjqdsbmxlw236wvdwkl89xav8jzvqg5mgjk6z4"
2025,"4.4.3",3.2,"2025-04-07","supported","supported","might work","00r81a726ag7x2r69w1j3mc93mdfl84zd893ix7s539nqrcdpmh4"
2025,"4.5.0",3.2,"2025-04-11","supported","supported","might work","0y60qsq1mwdfi8bhlbw8zbwxkifgyki1bx1pfv1sxp2v6wk6r1s1"
2025,"4.5.0",3.2,"2025-04-14","supported","supported","might work","00xm8clr98zjdvvavfk6mvm62kxrc8r4ym6l770picyfdglbfmig"
2025,"4.5.0",3.21,"2025-04-16","supported","supported","might work","0w6k2zg08g2hkirskmgnxa93mrgz5xzlwpz06c06xdafx615v1sh"
2025,"4.5.0",3.21,"2025-04-29","supported","supported","might work","0vy8d4nsfq3lmpzq8clinnllxid524aw7vcsrwjr4bh85wxl0wr8"
2025,"4.5.0",3.21,"2025-05-05","supported","supported","might work","19g9pjrazp819f3kcng33myh1xggx7p3gdpzkw0dsdhyf67zwyl6"
2025,"4.5.0",3.21,"2025-05-16","supported","supported","might work","0f5yasidq12ahj832b3kxw0n0d4x1dw2bskppcd6wd70yk89f71s"
2025,"4.5.0",3.21,"2025-05-19","supported","supported","might work","1ppqzqv82lpvvjjhp9wpgari7wgrq7qj7kzxn0ln0d27mdc05j8f"
2025,"4.5.0",3.21,"2025-05-26","supported","supported","might work","0rpc5dpkx0lxlybn3dnh9h6fkv297r8nzwawx37lnjasrrfw983w"
2025,"4.5.0",3.21,"2025-06-02","supported","supported","might work","1mfwql6nl9kj6xfj1fqfwjq47fhklzlfq4rd976bl00f2rly6gff"
2025,"4.5.0",3.21,"2025-06-09","supported","supported","might work","04580frifnla74ksdplnrs8mi8bi75mzs4a99x5zawy1gaylffn9"
2025,"4.5.1",3.21,"2025-06-13","supported","supported","might work","0z44z2qacjp8f2j2kkb4wsq420bh15a9b5jxsbfipbns8fiphcyk"
2025,"4.5.1",3.21,"2025-06-24","supported","supported","might work","1s0v5rna2dsivd7i8bikrp3fzx00lxsjr3cg0mq4mg3nrvp1dwhf"
2025,"4.5.1",3.21,"2025-07-02","supported","supported","might work","1g3fjzdqfw21j0d8yfd00lp17k3r0fyajhhrr4c0b8mjrz8359kv"
2025,"4.5.1",3.21,"2025-07-07","supported","supported","might work","05mgaq7rn34k9rd09rjqhnrkgzjhdh3yqwwvszn5xaaahscyk86r"
2025,"4.5.1",3.21,"2025-07-14","supported","supported","might work","148jdm0h15xsvxsv748vh0z3fy0mxvf3kmjxylgrj3a2zix2hacl"
2025,"4.5.1",3.21,"2025-07-21","supported","supported","might work","07wjz7swpm88mpz0mhc97av1r7qxs1n514iw072ir1z2260m4kvy"
2025,"4.5.1",3.21,"2025-07-28","supported","supported","might work","16s4vv738y0va48hqg0rx2vc9n5ynwv47g2h6263vydwah8wfvq0"
2025,"4.5.1",3.21,"2025-08-04","supported","supported","might work","1b4q7bj47bk9h7cag4q59n3hc8rb50i483v8qhqzd4gxp1afpv13"
2025,"4.5.1",3.21,"2025-08-11","supported","supported","might work","0r8zx8shg2px6m3ahvkrljin0zjv14h8a33hscm0ig6vy6mlbmss"
2025,"4.5.1",3.21,"2025-08-18","supported","supported","might work","1qpks67g5rssl6yfvzqc6nmbkap946apvwnyvqh83hws6rh3illw"
2025,"4.5.1",3.21,"2025-08-25","supported","supported","might work","0bdgng9ikh12i7prnv49z7v6a8kbv3yx91nlnk3vxh51g9b7sav8"
2025,"4.5.1",3.21,"2025-09-01","supported","supported","might work","18m9rcw8b1zqx92hri3vcjqnjl7bnyc55kkhpw3s3411abiab76y"
2025,"4.5.1",3.21,"2025-09-04","supported","supported","might work","0zm6spxqwbr54yin6b4pf3dwpivjjn0n9jv5ds8j0hx76284fxk5"
2025,"4.5.1",3.21,"2025-09-09","supported","supported","might work","1nnfz65igbhy1ha529z038lkb6yab468yg8bry4ykiv9zyx3kcd2"
2025,"4.5.1",3.21,"2025-09-11","supported","supported","might work","050wbyf3z8qrhiaxaxi9x579mfxyyd0m7fgv27b0jcik8fs4kx4l"
